"eNB","cell","radio","lat","lon","lat_1_re","lon_1_re"
"27933","3","1.8GHz(20M)","37:34.09/007","127:03.02/002",37.566783,127.050556
"29424","1","800MHz","37:35.25/10 ","127:3.21/310",37.585,127.055919
"29424","11","1.8GHz(20M)","37:35.25/10 ","127:3.21/310",37.585,127.055919
"29424","12","1.8GHz(20M)","37:35.25/10 ","127:3.21/310",37.585,127.055919
"29424","14","1.8GHz(20M)","37:35.27/138","127:03.18/754",37.585633,127.055209
"29424","15","1.8GHz(20M)","37:35.30/58 ","127:3.24/99 ",37.593,127.056942
"29424","17","1.8GHz(20M)","37:35.29/738","127:3.6/919",37.595633,127.051922
"29424","18","1.8GHz(20M)","37:35.26/484","127:3.13/29 ",37.5914,127.053692
"29424","2","800MHz","37:35.25/10 ","127:3.21/310",37.585,127.055919
"29424","21","2.1GHz(20M)","37:35.25/10 ","127:3.21/310",37.585,127.055919
"29424","22","2.1GHz(20M)","37:35.25/10 ","127:3.21/310",37.585,127.055919
"29424","25","2.1GHz(20M)","37:35.30/580","127:3.24/990",37.593,127.056942
"29424","27","2.1GHz(20M)","37:35.29/738","127:3.6/919",37.595633,127.051922
"29424","28","2.1GHz(20M)","37:35.26/484","127:3.13/29 ",37.5914,127.053692
"29424","4","800MHz","37:35.27/138","127:03.18/754",37.585633,127.055209
"29424","41","2.6GHz","37:35.25/151","127:30.21/362",37.58585,127.505934
"29424","45","2.6GHz","37:35.30/840","127:03.25/160",37.597333,127.056989
"29424","47","2.6GHz","37:35.29/725","127:03.06/965",37.595417,127.051935
"29424","5","800MHz","37:35.30/58 ","127:3.24/99 ",37.593,127.056942
"29424","7","800MHz","37:35.29/738","127:3.6/919",37.595633,127.051922
"29424","8","800MHz","37:35.26/484","127:3.13/29 ",37.5914,127.053692
"29425","1","800MHz","37:35.16/15 ","127:3.14/69 ",37.585833,127.054081
"29425","11","1.8GHz(20M)","37:35.16/15 ","127:3.14/69 ",37.585833,127.054081
"29425","12","1.8GHz(20M)","37:35.16/15 ","127:3.14/69 ",37.585833,127.054081
"29425","14","1.8GHz(20M)","37:35.17/161","127:3.20/515",37.586017,127.055699
"29425","15","1.8GHz(20M)","37:35.21/315","127:03.23/476",37.588583,127.056521
"29425","17","1.8GHz(20M)","37:35.23/326","127:3.29/987",37.588767,127.05833
"29425","18","1.8GHz(20M)","37:35.23/156","127:3.28/856",37.585933,127.058016
"29425","2","800MHz","37:35.16/15 ","127:3.14/69 ",37.585833,127.054081
"29425","21","2.1GHz(20M)","37:35.16/150","127:3.14/690",37.585833,127.054081
"29425","22","2.1GHz(20M)","37:35.16/150","127:3.14/690",37.585833,127.054081
"29425","24","2.1GHz(20M)","37:35.17/161","127:3.20/515",37.586017,127.055699
"29425","25","2.1GHz(20M)","37:35.21/315","127:3.23/476",37.588583,127.056521
"29425","27","2.1GHz(20M)","37:35.22/156","127:3.28/856",37.585933,127.058016
"29425","28","2.1GHz(20M)","37:35.22/156","127:3.28/856",37.585933,127.058016
"29425","4","800MHz","37:35.17/161","127:3.20/515",37.586017,127.055699
"29425","41","2.6GHz","37:35.16/579","127:03.14/797",37.592983,127.05411
"29425","42","2.6GHz","37:35.16/579","127:03.14/797",37.592983,127.05411
"29425","44","2.6GHz","37:35.17/303","127:30.19/695",37.588383,127.505471
"29425","5","800MHz","37:35.21/315","127:03.23/476",37.588583,127.056521
"29425","7","800MHz","37:35.23/156","127:3.28/856",37.585933,127.058016
"29425","8","800MHz","37:35.23/156","127:3.28/856",37.585933,127.058016
"29426","1","800MHz","37:35.41/710","127:3.22/410",37.595167,127.056225
"29426","11","1.8GHz(20M)","37:35.41/657","127:3.22/554",37.594283,127.056265
"29426","12","1.8GHz(20M)","37:35.46/223","127:03.18/034",37.58705,127.055009
"29426","14","1.8GHz(20M)","37:35.43/625","127:3.27/921",37.59375,127.057756
"29426","15","1.8GHz(20M)","37:35.32/64 ","127:3.11/28 ",37.594,127.053133
